"filename", "language", "Docker", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "Markdown", "Vue", "XML", "JSON", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\user\user-login-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 4, 11, 137
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\user\user-login-page.vue", "Vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 6, 46
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\user\user-register-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 4, 14, 166
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\user\user-register-page.vue", "Vue", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 8, 46
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\helpers\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\helpers\router.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 58
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\helpers\utils.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\main.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 31
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\admin-data.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\admin.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\credentials.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 72
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\position.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\models\sensor-data-validators.ts", "TypeScript", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 120
